                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.2155,                 1.6879,                 2.0472,                0.69617,                 0.5625,                0.62547,                0.24802,                 2.0387,                 1.5383,                 1.9439,              0.0013466,              0.0013466,              0.0013466
                     35,                 2.1561,                 1.6463,                 1.9667,                0.78316,                0.57812,                0.65055,                  0.291,                 1.9946,                 1.4235,                 1.9597,              0.0013268,              0.0013268,              0.0013268
                     36,                 2.0495,                 1.5311,                  1.892,                0.63116,                0.54688,                0.58969,                0.26476,                  1.994,                 1.4809,                 1.9253,               0.001307,               0.001307,               0.001307
                     37,                 1.9686,                 1.4963,                 1.8663,                0.67205,                 0.6084,                 0.6236,                0.28884,                 1.8898,                  1.391,                 1.9097,              0.0012872,              0.0012872,              0.0012872
                     38,                 2.0833,                 1.6237,                 1.8351,                0.63478,                  0.625,                0.62642,                0.28434,                 1.9062,                 1.4775,                 1.8552,              0.0012674,              0.0012674,              0.0012674
                     39,                 2.0339,                 1.5668,                 1.8735,                0.67417,                0.58199,                0.64389,                0.30898,                  1.874,                 1.4959,                 1.8636,              0.0012476,              0.0012476,              0.0012476
                     40,                 2.0138,                 1.4405,                 1.8218,                0.76255,                0.53125,                0.64142,                0.31315,                 1.8674,                 1.4943,                 1.8471,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.9716,                 1.4624,                  1.801,                0.69046,                0.57812,                  0.653,                0.29922,                 1.9396,                 1.5029,                  1.884,               0.001208,               0.001208,               0.001208
                     42,                 1.9426,                 1.4238,                 1.7714,                0.72204,                0.54688,                0.62227,                0.27825,                 1.9722,                 1.4619,                 1.8765,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.9117,                  1.337,                 1.7268,                0.55683,                0.64062,                 0.6243,                0.26134,                 2.0211,                 1.4173,                 1.9164,              0.0011684,              0.0011684,              0.0011684
                     44,                  1.907,                 1.3919,                 1.7426,                0.69506,                0.64062,                 0.6693,                0.33557,                 1.8983,                  1.296,                 1.8477,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.9167,                 1.3031,                 1.7076,                0.54092,                 0.6875,                0.54525,                0.24155,                 1.8194,                 1.3935,                 1.8046,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.9594,                 1.3793,                 1.8055,                0.51965,                0.59375,                0.52308,                0.23333,                 1.9151,                 1.5027,                 1.8643,               0.001109,               0.001109,               0.001109
                     47,                 1.9065,                   1.37,                 1.7129,                0.77484,                 0.6453,                0.69245,                0.29567,                  1.904,                  1.457,                  1.833,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.9292,                  1.445,                 1.7964,                0.65968,                    0.5,                0.63414,                0.32044,                 1.8488,                 1.4288,                 1.7913,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.8625,                 1.3508,                 1.7589,                0.58574,                0.64062,                0.65175,                0.29209,                 1.8065,                 1.3772,                 1.7753,              0.0010496,              0.0010496,              0.0010496
                     50,                  1.903,                 1.3151,                 1.7338,                0.65769,                0.59375,                0.64065,                0.31139,                 1.8522,                 1.3756,                 1.8174,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.8832,                 1.3532,                   1.75,                0.73798,                0.65625,                0.68313,                0.34494,                 1.7599,                  1.294,                 1.7632,                0.00101,                0.00101,                0.00101
                     52,                 1.8687,                 1.4123,                 1.7122,                0.76528,                0.71328,                0.71013,                0.32771,                 1.8105,                  1.348,                 1.7466,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.8521,                 1.3989,                  1.703,                0.63412,                0.67188,                0.57607,                0.27201,                 1.8397,                 1.3782,                 1.7885,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.9593,                 1.3721,                 1.7783,                0.78504,                 0.6848,                0.74147,                0.33078,                 1.8273,                 1.2737,                 1.7855,              0.0009506,              0.0009506,              0.0009506
                     55,                  1.831,                 1.3775,                 1.7147,                0.77525,                 0.6875,                0.72935,                0.34965,                 1.7751,                 1.2113,                 1.7567,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.7627,                 1.2445,                 1.6183,                 0.7355,                0.70312,                0.72136,                 0.3658,                 1.7592,                 1.2259,                 1.7189,               0.000911,               0.000911,               0.000911
                     57,                 1.7943,                 1.1974,                 1.7104,                0.74768,                0.59375,                0.70418,                0.34355,                 1.8467,                 1.2777,                 1.7683,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.7996,                 1.2189,                  1.613,                0.71712,                0.63384,                0.69714,                0.32202,                 1.8748,                 1.2895,                 1.7841,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.7741,                 1.1231,                  1.643,                0.71968,                0.73438,                 0.7618,                0.39451,                 1.6808,                 1.1557,                 1.6428,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.7808,                 1.2096,                 1.6036,                0.70132,                0.62373,                0.74198,                0.35772,                 1.7345,                 1.2555,                  1.701,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.8754,                 1.3452,                 1.6977,                0.44098,                0.54688,                0.40719,                0.18734,                 1.8816,                 1.5446,                 1.7957,               0.000812,               0.000812,               0.000812
                     62,                 1.8644,                 1.2781,                 1.6716,                0.62052,                 0.6875,                0.63729,                0.28593,                 1.8804,                 1.3137,                 1.7967,              0.0007922,              0.0007922,              0.0007922
                     63,                  1.812,                 1.1785,                 1.6985,                0.75026,                0.64062,                0.70657,                0.33409,                 1.8797,                 1.2318,                  1.768,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.8334,                 1.2047,                 1.6232,                0.71597,                   0.75,                0.74774,                 0.3749,                 1.7179,                 1.2013,                 1.7184,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.6982,                 1.1317,                 1.5601,                0.68671,                0.71875,                0.69777,                0.34118,                 1.7643,                 1.2404,                 1.7236,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.6668,                 1.1607,                 1.6461,                0.67291,                 0.6875,                0.69967,                 0.3368,                 1.8068,                 1.1897,                 1.7485,               0.000713,               0.000713,               0.000713
                     67,                 1.6705,                 1.1091,                 1.5743,                0.74156,                0.70312,                0.77268,                0.37709,                 1.7682,                 1.1519,                 1.6903,              0.0006932,              0.0006932,              0.0006932
                     68,                  1.728,                 1.1296,                 1.6403,                0.77875,                0.76998,                0.76909,                0.36295,                 1.8085,                 1.1525,                 1.6885,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.8048,                 1.2182,                  1.682,                0.66286,                0.67591,                0.73505,                0.34844,                 1.7985,                 1.2212,                 1.6755,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.6893,                 1.1998,                 1.6279,                0.78797,                0.67188,                0.76387,                0.34393,                 1.7875,                 1.1751,                 1.6709,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.6566,                 1.1307,                 1.5782,                0.71379,                0.74046,                0.73942,                0.35947,                 1.7885,                 1.1547,                 1.6643,               0.000614,               0.000614,               0.000614
                     72,                 1.6177,                 1.0789,                 1.5618,                0.80096,                 0.6917,                 0.7504,                0.37534,                 1.6879,                 1.1187,                 1.6296,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.6045,                  1.124,                 1.5799,                0.78996,                0.71875,                0.75096,                0.38053,                 1.7022,                 1.1444,                 1.6596,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.6702,                 1.1389,                 1.6049,                0.73763,                0.65625,                0.74968,                0.35449,                 1.7538,                 1.1933,                 1.6799,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.6907,                 1.1307,                 1.5419,                0.73257,                0.73438,                0.74971,                0.35497,                 1.7357,                 1.1311,                 1.6774,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.6609,                 1.1114,                  1.574,                0.81034,                0.70312,                0.74252,                0.34732,                 1.7392,                 1.1546,                 1.6841,               0.000515,               0.000515,               0.000515
